Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,soil_type,Wilderness
2591,16,10,268,64,2508,211,219,143,571,2,2,3
3013,304,5,313,-21,2474,206,237,171,1376,2,31,3
2894,67,12,437,134,1527,232,216,115,1680,2,32,3
2731,260,37,180,87,1613,110,231,244,1261,2,13,3
2811,345,22,60,28,2100,171,199,163,977,2,23,3
2691,19,15,85,12,2115,208,207,133,5116,2,12,1
3185,147,10,604,53,3227,233,239,137,3600,1,29,1
2742,67,10,124,27,1091,231,219,120,2195,2,31,3
2786,298,16,108,36,2584,174,233,198,1959,2,33,3
2898,184,14,390,52,1641,223,249,156,824,2,34,3
2655,169,18,42,6,1620,231,244,138,927,2,30,1
2860,49,19,212,57,2195,224,196,99,1419,2,33,3
2955,187,11,319,36,5354,221,248,159,3889,2,29,1
3044,276,14,466,75,5514,181,242,200,918,2,29,1
2872,326,12,90,17,3655,190,226,176,5567,2,20,1
3195,7,10,190,100,4883,208,220,149,1820,1,29,1
3419,17,7,351,80,1645,214,225,147,1265,7,38,3
2958,52,18,153,41,2131,227,198,99,2171,1,32,3
3422,204,11,990,73,3254,214,250,170,1320,7,38,3
3051,69,14,330,-44,741,234,211,106,720,1,29,1
2972,282,14,201,42,2698,180,240,199,564,2,33,3
2741,100,7,170,16,2664,231,231,133,5190,2,12,1
3092,225,1,376,26,2442,217,240,160,2496,2,32,3
2988,180,7,513,71,5498,223,245,156,2722,2,30,1
3191,153,6,162,16,4230,228,240,146,3104,1,23,1
2894,108,6,0,0,785,231,233,136,2349,2,17,3
3127,184,3,42,0,3212,220,241,157,1410,2,23,3
2942,254,18,402,44,5639,176,249,209,5845,2,29,1
2548,223,24,180,71,708,183,254,199,999,2,3,3
3189,111,29,277,97,4053,254,194,46,2241,1,23,1
2913,327,11,192,23,4349,192,227,174,5922,2,29,1
2647,355,33,190,33,872,149,164,139,1741,2,33,3
3130,127,2,247,17,1301,223,237,150,2107,1,23,1
3709,4,16,999,300,5001,198,208,146,3171,7,40,3
3099,352,13,180,50,1679,198,218,158,450,2,32,3
3229,14,4,42,1,3290,216,231,153,2084,1,38,1
3035,36,10,234,34,4397,219,217,132,1057,2,29,1
3415,243,12,679,174,3495,197,249,190,402,1,38,3
3010,171,8,594,86,1998,226,244,151,2634,2,32,3
3264,107,5,170,19,5448,229,234,139,816,2,29,1
3096,43,23,255,75,4872,217,182,89,1947,1,29,1
3117,298,15,42,-3,2326,178,234,196,3007,1,22,1
3050,39,22,960,-9,1599,215,186,97,2154,1,33,3
2911,85,3,268,24,4096,223,234,147,3705,2,12,1
3132,108,18,335,-16,6103,248,216,90,1224,1,29,1
3347,234,13,242,55,2838,198,251,190,1061,1,23,3
2976,26,20,228,117,1302,207,194,117,3261,1,24,3
2992,339,8,201,15,1476,203,228,164,1570,2,31,3
2878,85,6,0,0,1806,228,230,136,2405,1,22,3
2860,50,13,67,-4,558,225,212,119,1332,2,32,3
3243,117,6,285,1,6177,231,234,136,547,1,23,1
3043,14,12,175,16,1053,209,216,143,162,1,24,3
2928,330,9,190,54,1385,199,229,170,834,2,33,3
3090,350,16,242,-17,1310,189,211,159,300,1,24,3
3097,331,29,277,90,2644,141,192,183,2440,1,24,3
3238,203,16,641,24,573,210,253,173,2529,2,13,3
3327,311,9,175,21,1423,196,234,177,1756,1,32,3
3089,125,20,150,-13,1221,249,221,91,1110,2,29,1
3119,102,15,451,-29,6024,244,219,99,1348,1,29,1
3218,296,21,268,47,2066,156,228,210,3196,1,29,1
3081,66,11,815,6,1401,231,218,118,2649,2,33,3
3384,103,4,162,-3,2185,227,234,141,3445,7,38,1
2759,262,3,379,1,2539,211,241,168,5883,2,12,1
2935,345,7,379,79,2992,206,229,161,2393,2,29,1
3031,58,15,150,-9,4341,229,207,106,2530,2,29,1
2888,51,14,180,11,558,226,210,115,1725,2,29,1
3001,213,10,674,85,5716,212,249,173,3736,2,29,1
2757,355,17,85,23,1026,190,208,154,666,2,33,3
3079,112,15,834,269,841,245,223,103,1400,1,29,1
3133,70,15,134,33,5341,235,210,102,258,1,29,1
3288,320,8,120,54,4731,198,232,173,680,2,29,1
2854,63,10,0,0,1455,229,220,123,2506,1,20,3
3001,117,3,693,29,5566,225,236,146,6309,1,29,1
2582,35,11,212,60,2568,219,215,130,631,2,11,3
3105,52,18,342,107,4911,227,199,100,2338,1,29,1
2716,30,18,150,-2,1230,212,197,116,1989,2,32,3
2977,123,14,234,64,2403,243,229,112,1831,2,24,3
3014,47,15,190,27,2400,224,206,112,2007,2,31,3
2879,247,14,85,-6,1889,189,250,197,1495,5,23,3
2573,35,18,216,-3,845,215,197,112,124,2,29,1
3198,45,5,127,-19,2898,222,228,142,1936,1,22,1
3160,230,7,457,68,5876,209,247,175,2571,2,30,1
2630,173,23,85,26,1747,228,244,136,1436,2,3,3
3071,72,8,242,41,60,230,224,127,866,2,22,1
3085,114,32,190,54,2758,254,190,37,3004,1,29,1
3062,239,10,150,26,3055,202,249,184,726,2,32,3
2758,88,16,42,1,966,242,211,93,474,2,13,3
3162,212,8,524,125,1983,214,247,170,876,2,13,3
2955,251,14,469,59,5939,187,249,199,6161,2,29,1
2761,27,8,210,28,2844,217,223,142,5271,2,12,1
3387,291,21,1047,264,4030,156,231,213,2497,2,27,3
3403,346,16,698,111,2505,188,213,163,1254,1,32,3
2644,156,17,210,-13,1421,237,240,128,892,3,2,3
2526,90,10,124,18,1418,236,224,118,4591,2,18,1
3389,65,13,85,11,2674,232,214,112,2295,7,39,1
3075,68,10,30,6,1342,231,220,121,1719,1,20,3
3234,0,1,228,0,150,217,236,156,1224,1,32,3
2765,57,10,108,21,2503,227,220,126,4103,2,12,1
3245,26,13,285,87,4892,213,211,132,1620,1,29,1
3504,316,29,201,92,3185,132,202,204,1537,1,40,1
2912,223,28,192,79,837,173,253,203,700,2,13,3
3027,2,6,351,7,4294,212,229,154,1296,2,29,1
3112,207,14,626,105,6110,210,252,175,1539,2,30,1
2686,131,9,67,8,2001,235,235,131,1689,3,4,3
2899,93,16,313,94,335,243,214,96,1350,2,29,1
3158,53,7,446,77,1451,224,225,135,3464,1,33,3
3158,347,16,295,58,3501,187,212,162,3245,1,24,3
3325,84,25,362,35,3503,246,188,56,1689,1,29,1
3045,282,19,360,116,5981,166,238,211,1595,1,29,1
2767,110,15,108,28,450,244,222,103,335,5,30,1
3058,96,2,558,-12,1544,223,236,149,1260,2,23,1
3162,0,9,658,20,3406,208,224,154,3763,1,29,1
3124,90,1,330,8,2081,220,237,153,2694,2,32,3
2762,80,11,60,-1,1495,234,221,118,2075,2,29,1
2557,97,4,525,12,1034,226,234,143,1237,3,2,3
3098,23,17,624,222,2135,208,202,127,2630,1,24,3
2913,13,9,120,21,1664,211,221,146,2536,2,11,3
2808,90,9,323,23,3167,235,225,121,6578,2,12,1
2833,254,7,42,6,552,204,245,179,454,1,23,3
2544,65,10,216,32,309,230,221,123,1358,2,12,1
3085,276,23,503,164,3020,153,238,221,2393,2,31,3
2620,352,9,324,86,319,205,225,158,1441,2,29,1
3258,125,15,242,17,2942,244,228,109,1224,1,32,3
3277,40,12,85,1,2821,221,214,126,2563,1,29,1
2998,82,29,190,-15,2860,245,177,42,1254,1,33,3
2647,79,8,488,35,967,231,225,126,992,3,11,3
2531,42,11,285,17,295,222,215,127,2831,2,20,1
2776,43,13,60,-10,2737,222,212,122,2002,2,24,3
2868,92,11,90,10,3175,237,223,116,4217,2,29,1
2725,92,12,120,1,1690,238,222,112,902,2,12,1
3311,170,17,485,32,4089,230,245,140,2049,7,38,3
3154,211,12,283,60,2070,210,251,176,726,1,22,1
2645,16,4,60,-1,552,216,231,152,1484,2,12,1
2679,212,23,30,5,1710,194,254,186,1159,2,23,3
3034,32,4,541,62,5531,219,230,147,6500,2,12,1
3060,297,3,787,88,5832,210,238,166,3757,1,29,1
3280,121,10,216,22,1645,237,232,125,2301,1,32,3
3136,25,14,228,64,1159,212,208,130,644,1,22,1
2605,39,12,67,0,1239,220,212,125,1850,2,11,3
2831,131,15,30,6,966,243,231,114,1968,2,33,3
2683,113,12,120,-13,1898,241,227,114,256,2,10,3
2721,164,4,67,-2,1747,224,241,152,4191,2,12,1
2858,214,14,85,18,743,206,252,179,283,2,23,3
2440,24,26,90,40,966,196,174,103,1214,6,10,3
3258,148,15,90,5,1710,238,238,125,2753,1,22,1
3071,47,8,60,10,4863,223,223,135,2247,1,29,1
2703,25,13,30,3,228,213,212,133,2596,2,24,1
3116,309,15,218,20,1765,178,229,191,2650,1,32,3
3034,268,6,837,138,5806,205,242,176,5649,2,29,1
2942,66,18,95,18,4656,235,201,91,1992,5,29,1
3116,9,19,85,10,4234,195,200,138,3015,1,23,1
2607,33,18,192,60,170,214,199,115,1071,2,12,1
2998,190,16,1061,150,3007,218,251,161,1358,2,33,3
2598,24,17,212,39,430,208,201,125,999,3,10,3
3001,45,25,309,85,4831,218,177,81,3312,1,29,1
2526,115,17,42,10,1448,247,221,95,1353,3,4,3
3288,176,13,182,27,3445,226,247,150,1405,2,32,3
2975,53,10,170,16,3697,226,218,126,5277,2,29,1
3062,38,11,390,63,2975,220,216,129,1740,2,32,3
2991,217,18,212,53,3089,198,254,187,1121,2,13,3
2882,135,10,42,2,3186,237,236,129,1577,1,23,1
3147,359,14,108,11,4025,198,213,152,1095,1,22,3
2690,72,16,361,-37,1482,236,207,97,4129,2,29,1
3249,239,7,150,7,3215,207,246,176,1482,1,23,3
2905,198,4,309,61,3894,218,243,161,3424,2,12,1
3398,356,18,516,50,3958,188,204,151,3479,7,40,3
2359,85,5,30,-10,534,228,231,137,845,6,14,3
2926,92,11,30,-3,631,238,222,114,2336,2,29,1
3296,56,10,624,96,3736,227,218,124,3903,1,38,1
3397,352,13,564,58,1440,196,217,158,1397,7,38,3
3225,352,18,277,52,1369,186,206,157,700,1,24,3
3051,3,15,424,22,1924,198,209,147,1463,2,32,3
3176,3,5,95,1,3332,213,230,155,3338,1,23,1
2870,1,13,60,13,3988,201,215,151,6242,2,29,1
3242,339,11,404,147,5094,197,225,166,1921,1,29,1
2952,183,14,42,7,2320,223,249,155,1008,1,13,3
2760,282,22,67,14,1566,152,235,219,1187,1,13,3
2969,59,15,218,30,443,230,207,106,2118,2,32,3
2932,131,13,277,59,5381,241,232,118,4066,2,29,1
3120,21,13,484,113,2750,211,212,135,2676,2,32,3
2971,323,14,127,21,4184,185,225,180,2295,1,29,1
3156,344,15,42,9,2355,189,216,164,2889,1,23,3
2991,97,19,150,49,3870,247,210,85,1050,2,29,1
3143,120,8,210,4,2012,234,234,132,2359,2,30,1
3069,8,13,212,44,4838,205,215,146,2783,1,29,1
2527,351,21,240,74,516,179,200,156,361,2,33,3
3306,356,12,258,43,1253,201,219,155,700,1,38,1
2890,87,9,30,2,3182,234,224,121,2016,2,23,1
3110,350,12,60,11,2063,198,220,160,1052,1,23,3
3155,276,7,391,-9,3946,200,242,181,4519,1,23,1
2833,123,23,430,132,1875,252,215,77,2089,2,4,3
3205,41,5,408,26,5773,221,229,144,2842,2,29,1
2596,45,3,295,3,769,220,233,150,5504,2,29,1
3042,62,16,175,26,1900,232,206,102,3596,1,26,3
3003,336,21,342,75,1380,168,206,174,3128,1,22,1
2721,8,7,210,5,2310,212,227,152,4364,2,12,1
3085,321,10,134,33,4626,194,230,176,2343,1,29,1
2872,159,22,180,26,2037,237,237,118,1396,2,13,3
3264,8,2,258,30,256,217,235,155,825,1,32,3
2991,145,18,469,86,663,242,234,114,1905,2,33,3
2888,54,8,534,77,1789,225,222,130,2932,1,23,3
3027,126,7,767,108,5329,232,236,137,5829,2,12,1
3253,27,6,180,18,4308,217,226,145,994,1,39,1
3316,65,15,218,25,4174,233,207,102,3632,1,33,3
2640,171,31,240,116,2213,223,235,119,916,3,4,3
2639,8,19,190,61,541,195,199,138,1931,2,29,1
2942,58,9,330,69,2108,227,221,128,2292,2,31,3
2812,111,9,240,25,598,236,230,125,234,5,29,1
2936,317,18,376,74,3131,171,222,190,1889,1,24,3
3216,315,4,258,34,402,209,236,166,1239,1,23,3
2866,38,8,150,26,4578,220,222,136,4804,2,24,1
2994,157,14,366,91,3269,235,241,134,1341,2,12,1
2802,7,8,30,-2,2089,210,224,151,2614,2,23,1
2949,315,16,212,36,1149,176,226,189,2971,1,22,1
3003,358,23,690,134,2438,179,192,145,1924,2,24,3
2883,94,18,60,-18,228,246,209,86,1116,1,29,1
3094,13,8,108,5,3900,213,225,149,1087,1,29,1
2714,24,8,228,15,108,216,224,144,799,5,11,3
2981,200,24,30,5,1518,203,253,172,524,2,31,3
3250,0,16,404,63,4325,195,209,150,1036,1,32,3
3351,176,10,182,29,1710,225,246,152,3121,1,40,1
3064,305,10,335,10,2215,194,235,181,725,1,22,3
2770,24,13,108,24,2850,213,211,133,4771,2,24,1
3127,108,16,182,36,1626,246,220,98,3307,1,33,3
3346,199,24,424,140,828,204,252,171,866,1,22,1
2807,46,20,108,42,2448,221,191,96,2937,2,29,1
2860,53,20,342,179,362,226,194,93,1499,2,29,1
2795,4,30,240,67,1061,167,169,127,1956,2,24,3
3287,19,14,190,48,3481,208,209,135,2289,1,31,3
3029,170,15,108,7,1566,230,245,143,2388,1,33,3
3284,181,13,270,66,1158,224,248,154,908,1,32,3
3198,291,12,42,4,4179,186,238,192,1358,1,22,3
3282,199,12,841,147,870,215,250,168,2481,2,13,3
2609,96,14,192,-6,845,241,219,105,1782,2,29,1
2867,102,22,679,234,2591,250,205,71,1842,3,10,3
3189,297,18,170,32,2524,167,231,203,1087,1,23,3
2926,26,6,30,3,1310,217,227,146,488,1,23,3
3001,0,7,192,23,4917,210,227,155,5901,2,12,1
2913,225,17,67,23,4983,195,254,192,1282,2,30,1
3011,34,5,150,4,2833,219,228,145,1405,2,23,1
3132,94,10,30,-4,4024,236,225,119,3174,1,22,3
3068,284,14,268,9,3590,180,239,199,1579,1,22,3
3084,17,16,560,-6,1557,206,206,134,3436,1,31,3
3678,61,6,990,423,2654,225,228,137,1146,1,40,1
2618,145,19,60,7,1819,243,233,112,4698,2,30,1
3237,219,18,351,46,2678,198,254,188,977,1,29,1
3237,57,8,552,23,3840,226,223,132,3005,1,23,1
2743,8,15,30,6,2424,202,209,143,4102,2,23,1
2547,192,19,0,0,2664,215,251,163,872,6,4,3
3023,13,12,285,49,2529,208,216,143,2516,2,32,3
2953,356,16,120,35,3148,192,209,153,2156,2,29,1
2546,252,1,30,-5,1380,217,239,159,1140,3,17,3
3150,104,19,108,13,2151,248,213,85,2117,1,29,1
3238,144,12,330,8,4362,237,237,128,1003,2,29,1
2989,317,17,210,66,3174,173,223,189,1383,1,39,3
3086,58,12,270,17,3428,228,215,117,5032,2,29,1
3086,31,18,618,0,3972,213,199,117,3417,2,29,1
3023,127,26,242,87,1706,252,213,71,2714,1,33,3
2915,65,27,242,116,270,233,174,55,1266,2,29,1
2922,297,3,120,3,4113,210,238,166,5055,2,29,1
2942,247,16,175,26,5196,184,250,203,1733,2,29,1
2692,70,9,443,45,940,230,223,125,2002,2,29,1
2478,140,11,0,0,1588,236,237,130,1082,2,16,3
2722,6,12,150,15,2072,205,217,148,3926,2,12,1
3071,273,12,162,17,600,188,243,195,942,2,32,3
2591,220,24,319,180,1650,184,254,196,677,3,4,3
3049,347,8,30,1,4904,204,227,161,769,1,29,1
2970,27,17,255,47,1965,211,202,123,858,1,29,1
3185,279,27,845,264,3376,137,232,229,2389,2,27,3
2727,82,16,85,25,1867,240,210,96,182,1,31,3
2787,69,8,552,70,793,229,224,128,2577,2,29,1
3353,71,14,150,34,2317,235,213,107,1063,7,39,3
2919,74,13,212,29,3365,235,215,109,2343,2,12,1
3046,106,9,60,3,1505,235,229,125,2823,1,29,1
3239,321,12,426,144,5120,189,228,179,1951,1,29,1
3081,124,18,0,0,2614,247,225,99,1910,1,31,3
2832,64,12,247,16,3008,231,215,115,2614,2,12,1
3065,295,18,270,70,2550,167,232,205,1473,2,31,3
2855,140,30,120,21,993,248,216,73,1206,2,33,3
2654,123,13,366,42,711,241,230,116,1401,2,30,1
2887,356,18,256,74,2742,188,205,152,1864,2,29,1
2857,83,4,0,0,4034,225,233,143,6138,2,20,1
3467,291,15,212,92,3183,177,236,199,1790,1,40,1
3072,100,24,750,267,750,251,199,61,1621,2,30,1
3025,77,5,408,5,4268,227,230,138,1355,2,23,1
3041,126,15,218,73,3814,244,228,109,2448,2,30,1
2965,95,19,503,155,503,247,208,81,1489,2,29,1
3214,112,4,30,3,5763,227,235,142,698,1,23,1
2610,136,30,67,28,1240,250,211,66,811,2,13,3
2629,99,14,175,14,1762,242,221,106,1008,3,11,3
3043,294,20,85,3,3529,160,231,209,1140,1,39,3
3298,104,11,90,38,6024,239,226,117,690,1,38,1
2782,191,8,342,21,1825,220,246,161,2105,5,17,3
2968,92,16,42,6,4538,243,214,95,2449,1,23,1
2807,264,31,745,427,828,129,237,237,1994,2,28,3
3038,279,22,0,0,2220,154,237,219,752,2,31,3
2711,30,22,335,25,1554,207,187,108,927,2,29,1
2492,85,24,228,98,845,246,191,61,1291,3,4,3
2644,31,8,339,25,342,218,222,140,1784,2,12,1
2970,44,23,319,108,1934,218,182,87,3031,2,32,3
2901,247,19,446,69,2362,177,251,209,510,1,33,3
2780,148,12,350,7,2345,235,239,133,2654,2,30,1
3122,16,10,228,11,1782,211,219,143,2881,1,31,3
2990,110,18,60,-10,510,248,217,91,1710,1,29,1
2756,8,13,518,-31,674,205,214,145,830,2,11,3
3136,45,15,600,-38,4067,223,206,113,4260,1,23,1
3282,357,23,750,185,1254,176,191,147,1722,7,39,3
3042,328,14,134,29,1994,186,224,177,1320,1,22,3
3288,103,22,228,61,2576,250,207,74,2670,1,30,1
3289,47,12,725,89,3755,224,214,123,3872,1,38,1
2768,259,5,67,18,1909,208,243,173,2619,2,29,1
3295,71,16,60,-11,1832,236,208,99,912,7,39,3
2902,82,30,300,177,1974,244,172,35,560,5,13,3
3223,82,15,240,-29,1639,239,213,100,2510,1,22,1
2738,48,6,150,25,2250,223,226,139,1477,2,12,1
3018,39,9,351,34,4161,221,220,134,1426,2,29,1
2602,317,24,175,79,1040,149,210,198,569,6,33,3
2929,220,12,175,23,5619,205,252,181,3144,2,23,1
3420,96,15,297,58,2480,243,217,100,1930,7,39,3
3182,90,8,391,30,6049,233,227,127,1054,1,29,1
3039,63,5,162,15,3660,225,229,139,2021,2,29,1
2822,340,10,95,12,2274,198,225,166,2812,2,29,1
3131,180,22,1054,113,3210,222,247,147,2300,2,33,3
3171,3,9,85,11,2672,207,222,152,1123,1,23,3
2921,303,13,95,25,3030,183,233,190,2279,2,29,1
2615,14,10,95,5,3333,210,218,144,2737,1,11,3
2938,77,3,0,0,2220,224,233,145,2135,1,23,3
2781,336,22,256,65,1731,165,203,175,1087,5,11,3
2843,116,15,124,11,1114,245,224,104,1770,2,10,3
3131,336,19,371,80,3703,173,210,174,1935,2,39,3
3288,48,7,120,2,5651,223,225,138,716,1,38,1
2665,51,3,124,8,162,221,232,147,912,2,11,3
3001,80,9,268,-2,4202,233,223,122,3610,2,20,1
3128,135,5,366,113,485,228,238,144,977,2,32,3
2840,48,15,212,34,2480,224,207,114,2942,2,29,1
3308,12,15,67,6,3761,204,209,140,2188,7,37,1
3118,298,13,42,2,3852,185,235,191,1177,1,22,3
3287,183,5,30,3,5749,221,243,157,618,1,38,1
2826,212,20,42,13,1440,199,254,184,2248,2,13,3
2577,43,24,228,33,1008,217,181,87,1062,2,10,3
3100,15,16,664,50,3679,203,204,135,2793,2,29,1
3313,282,21,977,203,1440,158,236,216,2821,1,31,3
3004,123,5,301,-6,6293,228,236,142,3690,2,24,1
2754,70,10,256,4,1616,231,220,120,1866,2,29,1
2906,23,13,459,37,2151,212,211,134,1689,2,31,3
2757,37,30,510,204,959,203,159,73,2028,2,13,3
3034,112,13,256,10,3566,242,226,112,95,1,29,1
3154,91,10,85,2,4129,235,225,120,3360,1,22,3
3153,36,7,272,18,2967,220,225,141,960,2,29,1
2852,118,28,212,111,2128,254,202,55,514,5,13,3
3151,132,13,306,13,408,241,233,120,2037,2,23,1
2900,277,6,127,15,1242,204,241,176,1710,2,29,1
2972,279,16,201,6,2964,175,241,204,2032,2,13,3
3191,82,5,470,15,4679,227,231,138,2230,2,29,1
2966,253,15,272,91,4228,186,249,200,1621,2,12,1
3011,36,8,569,46,5316,220,222,138,5488,2,12,1
3209,31,13,60,2,1187,216,212,129,2463,1,23,1
3145,126,8,180,17,5057,235,234,131,2687,2,29,1
3174,56,9,30,3,2663,226,221,129,2830,1,23,3
2744,151,13,108,12,2118,237,239,130,900,2,10,3
3376,196,11,42,4,4290,217,249,165,3500,7,33,3
2576,125,18,85,13,700,247,225,100,2148,2,30,1
3141,140,11,60,-8,2387,237,237,129,1436,1,23,3
2696,282,13,108,25,418,182,240,198,360,2,29,1
3018,229,10,270,-3,1235,205,250,181,516,2,33,3
3236,159,15,201,26,2220,235,241,132,1814,1,32,3
3167,27,13,679,93,1652,214,212,131,2651,1,32,3
2623,35,8,0,0,1758,219,223,139,5102,2,16,1
